code_commune,nom_commune,code_departement,annee,scenario_nombre_votants,modele_nombre_votants,prediction_nombre_votants_2032,scenario_taux_participation,modele_taux_participation,prediction_taux_participation_2032
01001,L'ABERGEMENT-CLÉMENCIAT,01,2032,covid_pondere,Random forest,438.27,covid_pondere,Random forest,64.83
01002,L'ABERGEMENT-DE-VAREY,01,2032,covid_pondere,Random forest,219.0,covid_pondere,Random forest,98.67
01004,AMBÉRIEU-EN-BUGEY,01,2032,covid_pondere,Random forest,5267.34,covid_pondere,Random forest,62.12
01005,AMBÉRIEUX-EN-DOMBES,01,2032,covid_pondere,Random forest,777.03,covid_pondere,Random forest,56.4
01006,AMBLÉON,01,2032,covid_pondere,Random forest,99.89,covid_pondere,Random forest,99.05
01007,AMBRONAY,01,2032,covid_pondere,Random forest,1635.8,covid_pondere,Random forest,83.03
01008,AMBUTRIX,01,2032,covid_pondere,Random forest,428.49,covid_pondere,Random forest,78.38
01009,ANDERT-ET-CONDON,01,2032,covid_pondere,Random forest,267.39,covid_pondere,Random forest,96.51
01010,ANGLEFORT,01,2032,covid_pondere,Random forest,716.42,covid_pondere,Random forest,91.2
01011,APREMONT,01,2032,covid_pondere,Random forest,174.68,covid_pondere,Random forest,57.35
01012,ARANC,01,2032,covid_pondere,Random forest,242.86,covid_pondere,Random forest,79.1
01013,ARANDAS,01,2032,covid_pondere,Random forest,87.16,covid_pondere,Random forest,68.9
01014,ARBENT,01,2032,covid_pondere,Random forest,927.79,covid_pondere,Random forest,33.26
01015,ARBOYS EN BUGEY,01,2032,covid_pondere,Random forest,468.47,covid_pondere,Random forest,89.17
01016,ARBIGNY,01,2032,covid_pondere,Random forest,319.3,covid_pondere,Random forest,96.21
01017,ARGIS,01,2032,covid_pondere,Random forest,137.78,covid_pondere,Random forest,40.03
01019,ARMIX,01,2032,covid_pondere,Random forest,26.54,covid_pondere,Random forest,71.81
01021,ARS-SUR-FORMANS,01,2032,covid_pondere,Random forest,701.9,covid_pondere,Random forest,59.87
01022,ARTEMARE,01,2032,covid_pondere,Random forest,375.63,covid_pondere,Random forest,38.37
01023,ASNIÈRES-SUR-SAÔNE,01,2032,covid_pondere,Random forest,35.21,covid_pondere,Random forest,61.15
01024,ATTIGNAT,01,2032,covid_pondere,Random forest,1618.01,covid_pondere,Random forest,66.27
01025,BÂGÉ-DOMMARTIN,01,2032,covid_pondere,Random forest,2229.55,covid_pondere,Random forest,85.92
01026,BÂGÉ-LE-CHÂTEL,01,2032,covid_pondere,Random forest,281.95,covid_pondere,Random forest,41.95
01027,BALAN,01,2032,covid_pondere,Random forest,768.05,covid_pondere,Random forest,56.44
01028,BANEINS,01,2032,covid_pondere,Random forest,215.02,covid_pondere,Random forest,44.18
01029,BEAUPONT,01,2032,covid_pondere,Random forest,238.0,covid_pondere,Random forest,46.47
01030,BEAUREGARD,01,2032,covid_pondere,Random forest,293.98,covid_pondere,Random forest,39.43
01031,BELLIGNAT,01,2032,covid_pondere,Random forest,1384.98,covid_pondere,Random forest,71.22
01032,BÉLIGNEUX,01,2032,covid_pondere,Random forest,881.52,covid_pondere,Random forest,35.63
01033,VALSERHÔNE,01,2032,covid_pondere,Random forest,5589.18,covid_pondere,Random forest,58.39
01034,BELLEY,01,2032,covid_pondere,Random forest,2924.67,covid_pondere,Random forest,46.6
01035,BELLEYDOUX,01,2032,covid_pondere,Random forest,128.18,covid_pondere,Random forest,42.05
01036,VALROMEY-SUR-SÉRAN,01,2032,covid_pondere,Random forest,670.8,covid_pondere,Random forest,63.92
01037,BÉNONCES,01,2032,covid_pondere,Random forest,133.32,covid_pondere,Random forest,57.82
01038,BÉNY,01,2032,covid_pondere,Random forest,362.73,covid_pondere,Random forest,56.41
01039,BÉON,01,2032,covid_pondere,Random forest,181.75,covid_pondere,Random forest,51.07
01040,BÉRÉZIAT,01,2032,covid_pondere,Random forest,244.64,covid_pondere,Random forest,63.74
01041,BETTANT,01,2032,covid_pondere,Random forest,352.82,covid_pondere,Random forest,61.42
01042,BEY,01,2032,covid_pondere,Random forest,173.34,covid_pondere,Random forest,65.12
01043,BEYNOST,01,2032,covid_pondere,Random forest,2639.01,covid_pondere,Random forest,63.99
01044,BILLIAT,01,2032,covid_pondere,Random forest,246.94,covid_pondere,Random forest,50.89
01045,BIRIEUX,01,2032,covid_pondere,Random forest,149.37,covid_pondere,Random forest,68.73
01046,BIZIAT,01,2032,covid_pondere,Random forest,376.8,covid_pondere,Random forest,57.41
01047,BLYES,01,2032,covid_pondere,Random forest,504.07,covid_pondere,Random forest,51.43
01049,LA BOISSE,01,2032,covid_pondere,Random forest,1551.53,covid_pondere,Random forest,60.76
01050,BOISSEY,01,2032,covid_pondere,Random forest,167.51,covid_pondere,Random forest,58.24
01051,BOLOZON,01,2032,covid_pondere,Random forest,65.75,covid_pondere,Random forest,98.14
01052,BOULIGNEUX,01,2032,covid_pondere,Random forest,201.74,covid_pondere,Random forest,77.66
01053,BOURG-EN-BRESSE,01,2032,covid_pondere,Random forest,12859.82,covid_pondere,Random forest,67.77
01054,BOURG-SAINT-CHRISTOPHE,01,2032,covid_pondere,Random forest,584.2,covid_pondere,Random forest,40.12
01056,BOYEUX-SAINT-JÉRÔME,01,2032,covid_pondere,Random forest,154.19,covid_pondere,Random forest,40.03
01057,BOZ,01,2032,covid_pondere,Random forest,208.9,covid_pondere,Random forest,50.98
01058,BRÉGNIER-CORDON,01,2032,covid_pondere,Random forest,550.28,covid_pondere,Random forest,85.66
01060,BRÉNOD,01,2032,covid_pondere,Random forest,230.34,covid_pondere,Random forest,52.57
01061,BRENS,01,2032,covid_pondere,Random forest,552.62,covid_pondere,Random forest,50.97
01062,BRESSOLLES,01,2032,covid_pondere,Random forest,455.8,covid_pondere,Random forest,61.44
01063,BRION,01,2032,covid_pondere,Random forest,262.89,covid_pondere,Random forest,60.33
01064,BRIORD,01,2032,covid_pondere,Random forest,623.22,covid_pondere,Random forest,81.63
01065,BUELLAS,01,2032,covid_pondere,Random forest,707.56,covid_pondere,Random forest,45.31
01066,LA BURBANCHE,01,2032,covid_pondere,Random forest,97.71,covid_pondere,Random forest,95.97
01067,CEIGNES,01,2032,covid_pondere,Random forest,119.66,covid_pondere,Random forest,56.57
01068,CERDON,01,2032,covid_pondere,Random forest,408.81,covid_pondere,Random forest,75.62
01069,CERTINES,01,2032,covid_pondere,Random forest,738.48,covid_pondere,Random forest,67.8
01071,CESSY,01,2032,covid_pondere,Random forest,2008.98,covid_pondere,Random forest,64.45
01072,CEYZÉRIAT,01,2032,covid_pondere,Random forest,1572.35,covid_pondere,Random forest,65.69
01073,CEYZÉRIEU,01,2032,covid_pondere,Random forest,570.07,covid_pondere,Random forest,60.49
01074,CHALAMONT,01,2032,covid_pondere,Random forest,1240.27,covid_pondere,Random forest,66.86
01075,CHALEINS,01,2032,covid_pondere,Random forest,626.15,covid_pondere,Random forest,58.54
01076,CHALEY,01,2032,covid_pondere,Random forest,123.12,covid_pondere,Random forest,99.12
01077,CHALLES-LA-MONTAGNE,01,2032,covid_pondere,Random forest,108.94,covid_pondere,Random forest,75.7
01078,CHALLEX,01,2032,covid_pondere,Random forest,589.02,covid_pondere,Random forest,63.48
01079,CHAMPAGNE-EN-VALROMEY,01,2032,covid_pondere,Random forest,326.03,covid_pondere,Random forest,57.53
01080,CHAMPDOR-CORCELLES,01,2032,covid_pondere,Random forest,422.0,covid_pondere,Random forest,75.35
01081,CHAMPFROMIER,01,2032,covid_pondere,Random forest,271.07,covid_pondere,Random forest,46.86
01082,CHANAY,01,2032,covid_pondere,Random forest,294.19,covid_pondere,Random forest,77.16
01083,CHANEINS,01,2032,covid_pondere,Random forest,666.04,covid_pondere,Random forest,91.14
01084,CHANOZ-CHÂTENAY,01,2032,covid_pondere,Random forest,381.69,covid_pondere,Random forest,56.38
01085,LA CHAPELLE-DU-CHÂTELARD,01,2032,covid_pondere,Random forest,128.85,covid_pondere,Random forest,41.18
01087,CHARIX,01,2032,covid_pondere,Random forest,135.36,covid_pondere,Random forest,63.87
01088,CHARNOZ-SUR-AIN,01,2032,covid_pondere,Random forest,464.65,covid_pondere,Random forest,59.16
01089,CHÂTEAU-GAILLARD,01,2032,covid_pondere,Random forest,1146.3,covid_pondere,Random forest,91.85
01090,CHÂTENAY,01,2032,covid_pondere,Random forest,177.27,covid_pondere,Random forest,62.86
01091,CHÂTILLON-EN-MICHAILLE,01,2032,covid_pondere,Random forest,421.71,covid_pondere,Random forest,48.18
01092,CHÂTILLON-LA-PALUD,01,2032,covid_pondere,Random forest,820.68,covid_pondere,Random forest,63.17
01093,CHÂTILLON-SUR-CHALARONNE,01,2032,covid_pondere,Random forest,2858.0,covid_pondere,Random forest,78.72
01094,CHAVANNES-SUR-REYSSOUZE,01,2032,covid_pondere,Random forest,303.49,covid_pondere,Random forest,52.28
01095,NIVIGNE ET SURAN,01,2032,covid_pondere,Random forest,355.08,covid_pondere,Random forest,58.02
01096,CHAVEYRIAT,01,2032,covid_pondere,Random forest,481.22,covid_pondere,Random forest,60.83
01098,CHAZEY-BONS,01,2032,covid_pondere,Random forest,659.23,covid_pondere,Random forest,91.84
01099,CHAZEY-SUR-AIN,01,2032,covid_pondere,Random forest,781.5,covid_pondere,Random forest,63.17
01100,CHEIGNIEU-LA-BALME,01,2032,covid_pondere,Random forest,68.84,covid_pondere,Random forest,52.86
01101,CHEVILLARD,01,2032,covid_pondere,Random forest,85.09,covid_pondere,Random forest,60.27
01102,CHEVROUX,01,2032,covid_pondere,Random forest,484.15,covid_pondere,Random forest,61.2
