id_election,id_brut_miom,code_departement,code_commune,libelle_commune,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes
2026_muni_t1,26362_0042,26,26362,Valence,0042,44,44,0,0.0,0,0
2026_muni_t1,28085_0031,28,28085,Chartres,0031,115,115,0,0.0,0,0
2026_muni_t1,29232_0050,29,29232,Quimper,0050,64,64,0,0.0,0,0
2026_muni_t1,2A004_0042,2A,2A004,Ajaccio,0042,0,0,0,0.0,0,0
2026_muni_t1,2B033_0027,2B,2B033,Bastia,0027,77,77,0,0.0,0,0
2026_muni_t1,31555_001A,31,31555,Toulouse,001A,421,421,0,0.0,0,0
2026_muni_t1,34172_0137,34,34172,Montpellier,0137,0,0,0,0.0,0,0
2026_muni_t1,36044_0022,36,36044,Châteauroux,0022,0,0,0,0.0,0,0
2026_muni_t1,37261_1543,37,37261,Tours,1543,9,9,0,0.0,0,0
2026_muni_t1,39300_0009,39,39300,Lons-le-Saunier,0009,0,0,0,0.0,0,0
2026_muni_t1,40192_0024,40,40192,Mont-de-Marsan,0024,49,49,0,0.0,0,0
2026_muni_t1,41018_0416,41,41018,Blois,0416,0,0,0,0.0,0,0
2026_muni_t1,41205_0001,41,41205,Saint-Cyr-du-Gault,0001,157,157,0,5.0,-84,79
2026_muni_t1,42218_0101,42,42218,Saint-Etienne,0101,139,139,0,0.0,0,0
2026_muni_t1,43157_0105,43,43157,Le Puy-en-Velay,0105,0,0,0,0.0,0,0
2026_muni_t1,48095_0008,48,48095,Mende,0008,14,14,0,0.0,0,0
2026_muni_t1,50502_0015,50,50502,Saint-Lô,0015,0,0,0,0.0,0,0
2026_muni_t1,51108_0025,51,51108,Châlons-en-Champagne,0025,95,95,0,0.0,0,0
2026_muni_t1,52121_0020,52,52121,Chaumont,0020,30,30,0,0.0,0,0
2026_muni_t1,54395_0058,54,54395,Nancy,0058,536,536,0,0.0,0,0
2026_muni_t1,55029_0012,55,55029,Bar-le-Duc,0012,107,107,0,0.0,0,0
2026_muni_t1,56260_0038,56,56260,Vannes,0038,64,64,0,0.0,0,0
2026_muni_t1,60057_0035,60,60057,Beauvais,0035,129,129,0,0.0,0,0
2026_muni_t1,63113_0300,63,63113,Clermont-Ferrand,0300,0,0,0,0.0,0,0
2026_muni_t1,69123_0099,69,69123,Lyon,0099,0,0,0,0.0,0,0
2026_muni_t1,70550_0017,70,70550,Vesoul,0017,0,0,0,0.0,0,0
2026_muni_t1,71270_0999,71,71270,Mâcon,0999,50,50,0,0.0,0,0
2026_muni_t1,79191_0043,79,79191,Niort,0043,66,66,0,0.0,0,0
2026_muni_t1,80021_0072,80,80021,Amiens,0072,113,113,0,0.0,0,0
2026_muni_t1,81004_0033,81,81004,Albi,0033,50,50,0,0.0,0,0
2026_muni_t1,84007_0322,84,84007,Avignon,0322,106,106,0,0.0,0,0
2026_muni_t1,87085_0086,87,87085,Limoges,0086,1,1,0,0.0,0,0
2026_muni_t1,91228_0034,91,91228,Evry-Courcouronnes,0034,1149,1149,0,0.0,0,0
2026_muni_t1,94028_0050,94,94028,Créteil,0050,80,80,0,0.0,0,0
2026_muni_t1,95500_0022,95,95500,Pontoise,0022,155,155,0,0.0,0,0
2020_muni_t2,51650_0001,51,51650,Voilemont,0001,44,44,0,0.0,0,0
2020_muni_t2,57329_0001,57,57329,Holling,0001,306,306,0,0.0,0,0
2020_muni_t1,25156_0002,25,25156,Pays-De-Clerval,0002,0,0,0,0.0,0,0
