id_election,annee,tour,inscrits,abstentions,votants,blancs,nuls,exprimes,participation_pct,abstention_pct,blancs_votants_pct,nuls_votants_pct,exprimes_votants_pct
2014_muni_t1,2014,t1,45773155,16684066,29089089,,1595804,27493285,63.550543981510565,36.44945601848944,,5.485919479980965,94.51408052001904
2014_muni_t2,2014,t2,18336807,6943318,11393489,,407060,10986429,62.134530837348066,37.86546916265193,,3.572742291672024,96.42725770832797
2020_muni_t1,2020,t1,46437411,25697206,20740205,325337.0,566239,19848629,44.66270740201257,55.33729259798743,1.5686296254063061,2.7301514136432115,95.70121896095048
2020_muni_t2,2020,t2,16411347,9541017,6870330,114470.0,97014,6658846,41.8632912947365,58.136708705263494,1.6661499520401497,1.4120719092096012,96.92177813875024
2026_muni_t1,2026,t1,48690084,20877875,27812209,735843.0,762323,26314043,57.12088933754972,42.87911066245029,2.645755322779287,2.740965307717916,94.6132793695028
2026_muni_t2,2026,t2,16969620,7281683,9687937,140373.0,95151,9452413,57.089887693419186,42.910112306580814,1.448946251405227,0.9821595660665424,97.56889418252823
