code_commune,annee,population,taux_chomage,revenu_median,taux_criminalite
01001,2026,779.0,6.63615560640732,23970.0,0.0
01002,2026,256.0,1.47058823529412,23640.0,0.0
01004,2026,14134.0,13.3432960355265,20510.0,4.6543
01005,2026,1751.0,6.25867172610361,24050.0,3.4559
01006,2026,112.0,9.61538461538462,21550.0,0.0
01007,2026,2800.0,7.49877534139506,23380.0,5.1901
01008,2026,762.0,4.68407385293704,25450.0,2.3026
01009,2026,326.0,2.27422388777339,23790.0,0.0
01010,2026,1105.0,7.37011604678128,23770.0,3.4072
01011,2026,368.0,5.93116294681282,24450.0,0.0
01012,2026,329.0,7.54910656838079,21070.0,0.0
01013,2026,143.0,8.95522388059701,19900.0,0.0
01014,2026,3349.0,10.5898950037676,21460.0,4.9427
01015,2026,650.0,2.2728789149297,22700.0,0.0
01016,2026,460.0,7.39178171843684,21840.0,0.0
01017,2026,457.0,10.0558659217877,20120.0,0.0
01019,2026,27.0,30.7692307692308,21550.0,0.0
01021,2026,1457.0,4.94489723338658,24810.0,4.9438
01022,2026,1249.0,11.1984282907662,20690.0,2.9851
01023,2026,76.0,12.1951219512195,21550.0,0.0
01024,2026,3251.0,6.85548969380087,22820.0,3.5606
01025,2026,4065.0,7.09284026334373,22970.0,5.0803
01026,2026,973.0,8.81025908940122,21060.0,0.0
01027,2026,2563.0,8.34761792562217,24250.0,1.95
01028,2026,617.0,3.95387079415788,22560.0,0.0
01029,2026,685.0,7.99107309329842,20780.0,0.0
01030,2026,829.0,8.05850225247097,22990.0,5.7339
01031,2026,3652.0,13.9235493820698,19570.0,5.5927
01032,2026,3376.0,7.84524341094224,21980.0,3.9035
01033,2026,16378.0,14.6242260925381,22440.0,4.5251
01034,2026,9182.0,11.9268353796041,20030.0,2.9103
01035,2026,310.0,4.42002990708212,24210.0,0.0
01036,2026,1326.0,6.44067796610169,22890.0,2.621
01037,2026,308.0,8.22784810126582,21450.0,0.0
01038,2026,754.0,4.76190476190476,22980.0,2.4981
01040,2026,486.0,5.64092779404093,21610.0,0.0
01041,2026,748.0,8.59922140956661,22810.0,0.0
01042,2026,291.0,4.54545454545455,24570.0,0.0
01043,2026,4754.0,6.6291276826465,28010.0,6.4423
01044,2026,632.0,11.6246635587136,25780.0,0.0
01045,2026,283.0,4.36309847311531,26530.0,0.0
01046,2026,895.0,3.77897358745194,22870.0,0.0
01047,2026,1182.0,7.18956503821807,25410.0,2.8551
01049,2026,3283.0,8.22216953734403,25350.0,3.766
01050,2026,365.0,5.28804253574658,20770.0,0.0
01051,2026,91.0,12.7659574468085,21550.0,0.0
01052,2026,328.0,3.43561513290263,26780.0,0.0
