code_commune,nom_commune,2020,2026,variation_absolue,variation_relative_pct
04092,LA GARDE,89.08,66.32,-22.760000000000005,-25.55
55004,AINCREVILLE,88.14,65.38,-22.760000000000005,-25.82
23010,AUGÈRES,84.21,61.47,-22.739999999999995,-27.0
88354,PONT-SUR-MADON,70.94,48.2,-22.739999999999995,-32.06
07173,PÉREYRES,87.72,65.0,-22.72,-25.9
28268,MORAINVILLE,86.36,63.64,-22.72,-26.31
10262,NEUVILLE-SUR-SEINE,65.53,42.81,-22.72,-34.67
95141,CHARMONT,80.77,58.06,-22.709999999999994,-28.12
62061,AVERDOINGT,87.91,65.22,-22.689999999999998,-25.81
52291,LONGCHAMP,95.24,72.55,-22.689999999999998,-23.82
24546,TEMPLE-LAGUYON,74.19,51.52,-22.669999999999995,-30.56
15112,MALBO,87.37,64.71,-22.66000000000001,-25.94
70485,SELLES,74.01,51.36,-22.650000000000006,-30.6
55429,RIAVILLE,95.56,72.92,-22.64,-23.69
38083,CHARETTE,69.88,47.27,-22.609999999999992,-32.36
52014,APREY,82.84,60.24,-22.6,-27.28
31093,LE BURGAUD,76.62,54.02,-22.6,-29.5
02275,EFFRY,71.15,48.56,-22.590000000000003,-31.75
55408,POUILLY-SUR-MEUSE,67.55,44.97,-22.58,-33.43
55284,LAVINCOURT,74.19,51.61,-22.58,-30.44
55252,IRÉ-LE-SEC,74.29,51.72,-22.570000000000007,-30.38
25550,LA SOMMETTE,84.47,61.9,-22.57,-26.72
15256,VÈZE,95.83,73.26,-22.569999999999993,-23.55
73216,ROGNAIX,66.76,44.22,-22.540000000000006,-33.76
08019,LES GRANDES-ARMOISES,86.36,63.83,-22.53,-26.09
21293,GERGUEIL,79.44,56.91,-22.53,-28.36
51013,AOUGNY,80.68,58.16,-22.52000000000001,-27.91
55566,VILLERS-SUR-MEUSE,85.57,63.05,-22.519999999999996,-26.32
06005,ASCROS,88.89,66.37,-22.519999999999996,-25.33
2B047,CALACUCCIA,92.11,69.63,-22.480000000000004,-24.41
39245,GATEY,77.57,55.09,-22.47999999999999,-28.98
70263,GENEVREY,80.73,58.26,-22.470000000000006,-27.83
70222,ETRELLES-ET-LA-MONTBLEUSE,87.84,65.38,-22.460000000000008,-25.57
42041,CHAMBÉON,73.49,51.03,-22.459999999999994,-30.56
55257,JOUY-EN-ARGONNE,89.13,66.67,-22.459999999999994,-25.2
41037,LA CHAPELLE-ENCHÉRIE,83.23,60.78,-22.450000000000003,-26.97
07218,SAINT-BASILE,84.14,61.69,-22.450000000000003,-26.68
63006,ANZAT-LE-LUGUET,81.77,59.34,-22.429999999999993,-27.43
58293,TOURY-LURCY,74.4,51.98,-22.42000000000001,-30.13
88377,REGNÉVELLE,86.14,63.73,-22.410000000000004,-26.02
34149,MARGON,73.81,51.4,-22.410000000000004,-30.36
60675,VIGNEMONT,83.01,60.63,-22.380000000000003,-26.96
52002,AIGREMONT,75.0,52.63,-22.369999999999997,-29.83
64524,SIMACOURBE,84.82,62.46,-22.359999999999992,-26.36
40008,ARGELOUSE,83.78,61.43,-22.35,-26.68
57532,PAGNY-LÈS-GOIN,74.71,52.36,-22.349999999999994,-29.92
51203,CUPERLY,68.26,45.92,-22.340000000000003,-32.73
80823,WARVILLERS,85.45,63.11,-22.340000000000003,-26.14
80068,BEAUMETZ,91.05,68.72,-22.33,-24.52
25607,VERNOIS-LÈS-BELVOIR,84.62,62.3,-22.320000000000007,-26.38
21047,BARD-LÈS-EPOISSES,76.67,54.35,-22.32,-29.11
59066,BÉRELLES,82.84,60.53,-22.310000000000002,-26.93
39265,HAUTECOUR,87.34,65.03,-22.310000000000002,-25.54
52122,CHAUMONT-LA-VILLE,78.35,56.04,-22.309999999999995,-28.47
05111,PUY-SANIÈRES,82.16,59.85,-22.309999999999995,-27.15
06131,SALLAGRIFFON,98.28,76.0,-22.28,-22.67
70350,MOLAY,80.6,58.33,-22.269999999999996,-27.63
43196,SAINT-JEAN-D'AUBRIGOUX,74.43,52.17,-22.260000000000005,-29.91
52316,MATHONS,71.15,48.89,-22.260000000000005,-31.29
70176,CORRAVILLERS,81.56,59.3,-22.260000000000005,-27.29
14190,COURCY,76.34,54.11,-22.230000000000004,-29.12
55577,WALY,77.55,55.32,-22.229999999999997,-28.67
25445,PAROY,82.83,60.61,-22.22,-26.83
32456,TUDELLE,88.89,66.67,-22.22,-25.0
57753,WUISSE,80.0,57.78,-22.22,-27.78
26167,LUC-EN-DIOIS,71.79,49.58,-22.210000000000008,-30.94
08317,LA NEUVILLE-À-MAIRE,83.52,61.32,-22.199999999999996,-26.58
54193,FEY-EN-HAYE,77.27,55.07,-22.199999999999996,-28.73
21068,BEUREY-BAUGUAY,83.49,61.32,-22.169999999999995,-26.55
71352,LE PLANOIS,78.26,56.1,-22.160000000000004,-28.32
51420,OUTREPONT,92.75,70.59,-22.159999999999997,-23.89
11192,LASBORDES,86.06,63.91,-22.150000000000006,-25.74
08210,HANNOGNE-SAINT-RÉMY,82.14,60.0,-22.14,-26.95
23138,MOUTIER-D'AHUN,86.75,64.64,-22.11,-25.49
23201,SAINT-HILAIRE-LA-PLAINE,81.87,59.78,-22.090000000000003,-26.98
21055,BEAUNOTTE,85.71,63.64,-22.069999999999993,-25.75
42027,BULLY,72.7,50.65,-22.050000000000004,-30.33
51113,CHAMPAUBERT,78.49,56.44,-22.049999999999997,-28.09
81049,CAHUZAC,70.97,48.94,-22.03,-31.04
28421,VOISE,76.85,54.82,-22.029999999999994,-28.67
54221,GERBÉCOURT-ET-HAPLEMONT,78.68,56.67,-22.010000000000005,-27.97
80344,FRANCIÈRES,81.66,59.65,-22.009999999999998,-26.95
55361,MOULAINVILLE,78.9,56.9,-22.000000000000007,-27.88
34083,COMBES,75.15,53.16,-21.99000000000001,-29.26
52393,POINSENOT,67.27,45.28,-21.989999999999995,-32.69
57086,BELLES-FORÊTS,89.77,67.8,-21.97,-24.47
51433,PLICHANCOURT,66.47,44.51,-21.96,-33.04
32104,CLERMONT-POUYGUILLÈS,85.91,63.98,-21.93,-25.53
27238,FERRIÈRES-HAUT-CLOCHER,76.69,54.77,-21.919999999999995,-28.58
31470,SAINT-AVENTIN,93.33,71.43,-21.89999999999999,-23.47
80332,FOREST-MONTIERS,86.91,65.02,-21.89,-25.19
25440,OUHANS,74.38,52.49,-21.889999999999993,-29.43
26153,LABOREL,85.71,63.83,-21.879999999999995,-25.53
31099,CAIGNAC,80.15,58.28,-21.870000000000005,-27.29
60058,BEAUVOIR,81.22,59.36,-21.86,-26.91
11227,MAYRONNES,80.0,58.14,-21.86,-27.32
57126,CHAMBREY,77.3,55.44,-21.86,-28.28
63205,MANGLIEU,80.12,58.27,-21.85,-27.27
02152,CERSEUIL,73.24,51.39,-21.849999999999994,-29.83
73012,ALBIEZ-LE-JEUNE,85.16,63.31,-21.849999999999994,-25.66
01216,LHUIS,71.77,49.93,-21.839999999999996,-30.43
80219,COURCELLES-SOUS-THOIX,90.0,68.18,-21.819999999999993,-24.24
21082,BLANCEY,98.48,76.67,-21.810000000000002,-22.15
25079,BOUJAILLES,71.81,50.0,-21.810000000000002,-30.37
11185,LAGRASSE,83.79,62.0,-21.790000000000006,-26.01
88195,GENDREVILLE,81.32,59.55,-21.769999999999996,-26.77
51426,PÉAS,73.24,51.47,-21.769999999999996,-29.72
02448,MÂCHECOURT,88.78,67.01,-21.769999999999996,-24.52
35153,LILLEMER,84.34,62.59,-21.75,-25.79
21155,CHAUDENAY-LA-VILLE,95.56,73.81,-21.75,-22.76
08137,DAMOUZY,77.74,55.99,-21.749999999999993,-27.98
38418,SAINTE-MARIE-DU-MONT,78.8,57.07,-21.729999999999997,-27.58
02699,SAPONAY,70.27,48.58,-21.689999999999998,-30.87
34099,FERRIÈRES-LES-VERRERIES,91.53,69.84,-21.689999999999998,-23.7
51208,DAMPIERRE-SUR-MOIVRE,75.53,53.85,-21.68,-28.7
54278,JEVONCOURT,77.92,56.25,-21.67,-27.81
59140,CAULLERY,74.04,52.38,-21.660000000000004,-29.25
11257,MONZE,91.72,70.06,-21.659999999999997,-23.62
11058,CAILHAU,88.89,67.23,-21.659999999999997,-24.37
02457,MARCHAIS,71.66,50.0,-21.659999999999997,-30.23
02162,LA CHAPELLE-SUR-CHÉZY,72.16,50.51,-21.65,-30.0
26299,SAINTE-CROIX,77.08,55.45,-21.629999999999995,-28.06
84130,SUZETTE,94.48,72.86,-21.620000000000005,-22.88
89131,CRUZY-LE-CHÂTEL,77.07,55.45,-21.61999999999999,-28.05
64296,LACADÉE,84.11,62.5,-21.61,-25.69
64265,HOSTA,89.47,67.86,-21.61,-24.15
21182,COLLONGES-LÈS-BÉVY,73.13,51.52,-21.609999999999992,-29.55
79159,LUCHÉ-THOUARSAIS,72.14,50.55,-21.590000000000003,-29.93
52067,BRAINVILLE-SUR-MEUSE,82.19,60.61,-21.58,-26.26
80728,SAULCHOY-SOUS-POIX,88.89,67.31,-21.58,-24.28
26012,ARNAYON,77.14,55.56,-21.58,-27.98
68370,WILDENSTEIN,73.88,52.31,-21.569999999999993,-29.2
51229,EPENSE,79.35,57.78,-21.569999999999993,-27.18
65311,MINGOT,94.29,72.73,-21.560000000000002,-22.87
05060,FURMEYER,82.05,60.49,-21.559999999999995,-26.28
55192,FONTAINES-SAINT-CLAIR,86.67,65.12,-21.549999999999997,-24.86
70392,OIGNEY,94.87,73.33,-21.540000000000006,-22.7
25471,PROVENCHÈRE,83.64,62.1,-21.54,-25.75
04210,SOLEILHAS,86.83,65.29,-21.539999999999992,-24.81
66109,MOLITG-LES-BAINS,88.21,66.67,-21.539999999999992,-24.42
88121,DAMAS-AUX-BOIS,88.94,67.4,-21.539999999999992,-24.22
31439,PRÉSERVILLE,80.7,59.17,-21.53,-26.68
31505,SAINT-MICHEL,75.26,53.74,-21.520000000000003,-28.59
55495,SORBEY,76.16,54.64,-21.519999999999996,-28.26
34091,LE CROS,91.4,69.89,-21.510000000000005,-23.53
80281,ERGNIES,83.58,62.07,-21.509999999999998,-25.74
88528,XAMONTARUPT,79.14,57.64,-21.5,-27.17
61502,VIDAI,76.19,54.69,-21.5,-28.22
33504,SAUTERNES,74.08,52.59,-21.489999999999995,-29.01
70442,RENAUCOURT,76.53,55.06,-21.47,-28.05
52173,DOMREMY-LANDÉVILLE,74.71,53.25,-21.459999999999994,-28.72
70257,FRETIGNEY-ET-VELLOREILLE,74.64,53.19,-21.450000000000003,-28.74
80589,NEUILLY-LE-DIEN,78.41,56.96,-21.449999999999996,-27.36
70444,LA RÉSIE-SAINT-MARTIN,80.17,58.73,-21.440000000000005,-26.74
10434,VILLY-LE-BOIS,82.22,60.78,-21.439999999999998,-26.08
64176,CASTETBON,78.75,57.32,-21.43,-27.21
89012,ANNOUX,85.06,63.64,-21.42,-25.18
51072,BOUILLY,71.71,50.29,-21.419999999999995,-29.87
65481,BARÈGES,81.03,59.62,-21.410000000000004,-26.42
55215,GONDRECOURT-LE-CHÂTEAU,74.89,53.51,-21.380000000000003,-28.55
26090,LA CHAUDIÈRE,83.87,62.5,-21.370000000000005,-25.48
15050,LE CLAUX,88.38,67.01,-21.36999999999999,-24.18
62047,AUBROMETZ,82.26,60.9,-21.360000000000007,-25.97
54600,XOUSSE,88.37,67.01,-21.36,-24.17
55076,BRÉHÉVILLE,80.67,59.32,-21.35,-26.47
26321,SAINT-NAZAIRE-LE-DÉSERT,85.24,63.89,-21.349999999999994,-25.05
31408,PAYSSOUS,85.54,64.2,-21.340000000000003,-24.95
39109,CHARÉZIER,72.03,50.7,-21.33,-29.61
10071,CHACENAY,88.0,66.67,-21.33,-24.24
51166,CONTAULT,66.15,44.83,-21.320000000000007,-32.23
39514,SERRE-LES-MOULIÈRES,63.27,41.96,-21.310000000000002,-33.68
10246,MONTCEAUX-LÈS-VAUDES,72.33,51.02,-21.309999999999995,-29.46
57328,HOLACOURT,97.01,75.71,-21.30000000000001,-21.96
54275,JAULNY,71.28,50.0,-21.28,-29.85
64414,NARP,93.0,71.72,-21.28,-22.88
81056,CAMPAGNAC,77.68,56.41,-21.27000000000001,-27.38
80535,LE MESGE,82.91,61.64,-21.269999999999996,-25.65
10141,ESSOYES,67.24,45.97,-21.269999999999996,-31.63
08106,CHARNOIS,72.73,51.47,-21.260000000000005,-29.23
55327,MAUVAGES,75.25,54.0,-21.25,-28.24
08421,SIGNY-MONTLIBERT,71.25,50.0,-21.25,-29.82
39139,CHÊNE-BERNARD,96.72,75.47,-21.25,-21.97
42307,TARTARAS,69.06,47.82,-21.240000000000002,-30.76
01307,PORT,66.21,44.97,-21.239999999999995,-32.08
55265,LABEUVILLE,75.47,54.24,-21.229999999999997,-28.13
04159,REDORTIERS,90.29,69.07,-21.220000000000013,-23.5
39053,BIEF-DU-FOURG,76.92,55.7,-21.22,-27.59
02498,MONTAIGU,65.78,44.59,-21.189999999999998,-32.21
80713,SAINT-QUENTIN-EN-TOURMONT,85.93,64.75,-21.180000000000007,-24.65
08286,MÉNIL-ANNELLES,72.83,51.65,-21.18,-29.08
26282,ROMEYER,84.78,63.64,-21.14,-24.94
76445,MONTÉROLIER,73.09,51.95,-21.14,-28.92
39192,DENEZIÈRES,68.66,47.54,-21.119999999999997,-30.76
09171,LORDAT,83.61,62.5,-21.11,-25.25
51201,CUISLES,76.36,55.26,-21.1,-27.63
70072,BEVEUGE,81.94,60.87,-21.07,-25.71
52540,VITRY-EN-MONTAGNE,67.74,46.67,-21.069999999999993,-31.1
42014,BELLEROCHE,75.64,54.58,-21.060000000000002,-27.84
25299,GUILLON-LES-BAINS,71.05,50.0,-21.049999999999997,-29.63
64204,EAUX-BONNES,86.49,65.44,-21.049999999999997,-24.34
88022,AUZAINVILLIERS,72.86,51.83,-21.03,-28.86
88437,SAINT-VALLIER,79.52,58.51,-21.009999999999998,-26.42
51133,LE CHÂTELIER,90.48,69.49,-20.99000000000001,-23.2
59294,HAYNECOURT,82.31,61.33,-20.980000000000004,-25.49
24040,BEYNAC-ET-CAZENAC,88.33,67.35,-20.980000000000004,-23.75
55540,VAUX-LÈS-PALAMEIX,88.71,67.74,-20.97,-23.64
21063,BENEUVRE,86.81,65.85,-20.960000000000008,-24.14
05055,LA FAURIE,80.94,60.0,-20.939999999999998,-25.87
57471,MOMERSTROFF,82.1,61.16,-20.939999999999998,-25.51
57320,HERTZING,74.69,53.75,-20.939999999999998,-28.04
80526,LE MEILLARD,92.97,72.06,-20.909999999999997,-22.49
10175,JASSEINES,76.12,55.22,-20.900000000000006,-27.46
74168,MARLIOZ,79.2,58.3,-20.900000000000006,-26.39
41034,CHAMBORD,94.32,73.42,-20.89999999999999,-22.16
64486,SAINT-JEAN-POUDGE,83.1,62.2,-20.89999999999999,-25.15
62216,LA CAUCHIE,87.12,66.23,-20.89,-23.98
25242,FLAGEY-RIGNEY,81.11,60.22,-20.89,-25.76
52051,BIZE,71.93,51.06,-20.870000000000005,-29.01
39083,CENSEAU,68.0,47.14,-20.86,-30.68
53213,SAINT-ELLIER-DU-MAINE,76.62,55.77,-20.85,-27.21
01188,ILLIAT,69.63,48.78,-20.849999999999994,-29.94
62538,MAINTENAY,80.49,59.64,-20.849999999999994,-25.9
19104,LAMONGERIE,91.18,70.34,-20.840000000000003,-22.86
77030,BELLOT,65.02,44.18,-20.839999999999996,-32.05
70583,VY-LÈS-FILAIN,83.33,62.5,-20.83,-25.0
39427,PLÉNISE,83.33,62.5,-20.83,-25.0
81309,VAOUR,83.06,62.25,-20.810000000000002,-25.05
43076,CONNANGLES,87.2,66.4,-20.799999999999997,-23.85
52087,BUXIÈRES-LÈS-VILLIERS,89.74,68.94,-20.799999999999997,-23.18
88021,AUTREY,88.41,67.61,-20.799999999999997,-23.53
01298,PLAGNE,81.82,61.02,-20.79999999999999,-25.42
59556,SASSEGNIES,70.09,49.3,-20.790000000000006,-29.66
2A258,RENNO,95.2,74.41,-20.790000000000006,-21.84
70401,OVANCHES,82.47,61.68,-20.79,-25.21
11390,THÉZAN-DES-CORBIÈRES,86.28,65.5,-20.78,-24.08
10440,VOIGNY,80.62,59.84,-20.78,-25.78
15263,VIRARGUES,94.66,73.88,-20.78,-21.95
12104,FOISSAC,86.19,65.41,-20.78,-24.11
08041,BAÂLONS,76.97,56.21,-20.759999999999998,-26.97
19284,VIAM,80.95,60.2,-20.75,-25.63
57004,ACHAIN,94.59,73.85,-20.74000000000001,-21.93
26316,SAINT-MARTIN-LE-COLONEL,90.96,70.22,-20.739999999999995,-22.8
02403,LANDIFAY-ET-BERTAIGNEMONT,74.9,54.17,-20.730000000000004,-27.68
32174,LADEVÈZE-RIVIÈRE,79.51,58.79,-20.720000000000006,-26.06
02631,QUIERZY,72.89,52.19,-20.700000000000003,-28.4
