,nombre_votants,nombre_votants,nombre_votants,nombre_votants,nombre_votants,nombre_votants,taux_participation,taux_participation,taux_participation,taux_participation,taux_participation,taux_participation
,mean,median,std,min,max,count,mean,median,std,min,max,count
annee,,,,,,,,,,,,
2014,2363.68,1096.5,4929.89,54.0,132909.0,9906,66.79,67.14,8.87,32.46,98.84,9906
2020,593.27,207.0,1946.09,3.0,89738.0,34959,59.05,58.91,14.62,16.19,100.0,34959
2026,794.54,230.0,5522.35,0.0,827599.0,34836,64.0,63.21,11.34,0.0,101.44,34836
