colonne,nb_manquants,pct_manquants,dtype
voix_exprimes_5,34448,98.89,str
voix_inscrits_5,34448,98.89,str
nuance_liste_4,34114,97.93,str
sieges_au_cc_4,34074,97.81,float64
numero_de_panneau_4,34036,97.7,float64
libelle_abrege_de_liste_4,34032,97.69,str
libelle_de_liste_4,34032,97.69,str
sieges_au_cm_4,34032,97.69,float64
voix_4,34032,97.69,float64
voix_exprimes_4,34032,97.69,str
voix_inscrits_4,34032,97.69,str
nuance_liste_3,33346,95.72,str
sieges_au_cc_3,32830,94.24,float64
numero_de_panneau_3,32516,93.34,float64
libelle_abrege_de_liste_3,32512,93.33,str
libelle_de_liste_3,32512,93.33,str
sieges_au_cm_3,32512,93.33,float64
voix_3,32512,93.33,float64
voix_exprimes_3,32512,93.33,str
voix_inscrits_3,32512,93.33,str
nuance_liste_2,32112,92.18,str
nuance_liste_1,31554,90.58,str
sieges_au_cc_2,28971,83.16,float64
sieges_au_cc_1,24866,71.38,float64
numero_de_panneau_2,23685,67.99,float64
libelle_abrege_de_liste_2,23681,67.98,str
libelle_de_liste_2,23681,67.98,str
sieges_au_cm_2,23681,67.98,float64
voix_2,23681,67.98,float64
voix_exprimes_2,23681,67.98,str
voix_inscrits_2,23681,67.98,str
numero_de_panneau_1,4,0.01,float64
libelle_abrege_de_liste_1,1,0.0,str
libelle_de_liste_1,1,0.0,str
abstentions,0,0.0,int64
abstentions_2,0,0.0,str
blancs,0,0.0,int64
blancs_inscrits,0,0.0,str
blancs_votants,0,0.0,str
code_commune,0,0.0,str
code_departement,0,0.0,str
exprimes,0,0.0,int64
exprimes_inscrits,0,0.0,str
exprimes_votants,0,0.0,str
inscrits,0,0.0,int64
libelle_commune,0,0.0,str
libelle_departement,0,0.0,str
nuls,0,0.0,int64
nuls_inscrits,0,0.0,str
nuls_votants,0,0.0,str
sieges_au_cm_1,0,0.0,int64
voix_1,0,0.0,int64
voix_exprimes_1,0,0.0,str
voix_inscrits_1,0,0.0,str
votants,0,0.0,int64
votants_2,0,0.0,str
