colonne,nb_manquants,pct_manquants,dtype
elu_1,34836,100.0,float64
elu_10,34836,100.0,float64
elu_11,34836,100.0,float64
elu_12,34836,100.0,float64
elu_13,34836,100.0,float64
elu_2,34836,100.0,float64
elu_3,34836,100.0,float64
elu_4,34836,100.0,float64
elu_5,34836,100.0,float64
elu_6,34836,100.0,float64
elu_7,34836,100.0,float64
elu_8,34836,100.0,float64
elu_9,34836,100.0,float64
nom_candidat_1,34836,100.0,float64
nom_candidat_10,34836,100.0,float64
nom_candidat_11,34836,100.0,float64
nom_candidat_12,34836,100.0,float64
nom_candidat_13,34836,100.0,float64
nom_candidat_2,34836,100.0,float64
nom_candidat_3,34836,100.0,float64
nom_candidat_4,34836,100.0,float64
nom_candidat_5,34836,100.0,float64
nom_candidat_6,34836,100.0,float64
nom_candidat_7,34836,100.0,float64
nom_candidat_8,34836,100.0,float64
nom_candidat_9,34836,100.0,float64
prenom_candidat_1,34836,100.0,float64
prenom_candidat_10,34836,100.0,float64
prenom_candidat_11,34836,100.0,float64
prenom_candidat_12,34836,100.0,float64
prenom_candidat_13,34836,100.0,float64
prenom_candidat_2,34836,100.0,float64
prenom_candidat_3,34836,100.0,float64
prenom_candidat_4,34836,100.0,float64
prenom_candidat_5,34836,100.0,float64
prenom_candidat_6,34836,100.0,float64
prenom_candidat_7,34836,100.0,float64
prenom_candidat_8,34836,100.0,float64
prenom_candidat_9,34836,100.0,float64
sexe_candidat_1,34836,100.0,float64
sexe_candidat_10,34836,100.0,float64
sexe_candidat_11,34836,100.0,float64
sexe_candidat_12,34836,100.0,float64
sexe_candidat_13,34836,100.0,float64
sexe_candidat_2,34836,100.0,float64
sexe_candidat_3,34836,100.0,float64
sexe_candidat_4,34836,100.0,float64
sexe_candidat_5,34836,100.0,float64
sexe_candidat_6,34836,100.0,float64
sexe_candidat_7,34836,100.0,float64
sexe_candidat_8,34836,100.0,float64
sexe_candidat_9,34836,100.0,float64
libelle_abrege_de_liste_13,34835,100.0,str
libelle_de_liste_13,34835,100.0,str
nuance_liste_13,34835,100.0,str
numero_de_panneau_13,34835,100.0,float64
sieges_au_cc_13,34835,100.0,float64
sieges_au_cm_13,34835,100.0,float64
voix_13,34835,100.0,float64
voix_exprimes_13,34835,100.0,str
voix_inscrits_13,34835,100.0,str
libelle_abrege_de_liste_12,34834,99.99,str
libelle_de_liste_12,34834,99.99,str
nuance_liste_12,34834,99.99,str
numero_de_panneau_12,34834,99.99,float64
sieges_au_cc_12,34834,99.99,float64
sieges_au_cm_12,34834,99.99,float64
voix_12,34834,99.99,float64
voix_exprimes_12,34834,99.99,str
voix_inscrits_12,34834,99.99,str
libelle_abrege_de_liste_11,34829,99.98,str
libelle_de_liste_11,34829,99.98,str
nuance_liste_11,34829,99.98,str
numero_de_panneau_11,34829,99.98,float64
sieges_au_cc_11,34829,99.98,float64
sieges_au_cm_11,34829,99.98,float64
voix_11,34829,99.98,float64
voix_exprimes_11,34829,99.98,str
voix_inscrits_11,34829,99.98,str
libelle_abrege_de_liste_10,34823,99.96,str
libelle_de_liste_10,34823,99.96,str
nuance_liste_10,34823,99.96,str
numero_de_panneau_10,34823,99.96,float64
sieges_au_cc_10,34823,99.96,float64
sieges_au_cm_10,34823,99.96,float64
voix_10,34823,99.96,float64
voix_exprimes_10,34823,99.96,str
voix_inscrits_10,34823,99.96,str
sieges_au_cc_9,34814,99.94,float64
libelle_abrege_de_liste_9,34813,99.93,str
libelle_de_liste_9,34813,99.93,str
nuance_liste_9,34813,99.93,str
numero_de_panneau_9,34813,99.93,float64
sieges_au_cm_9,34813,99.93,float64
voix_9,34813,99.93,float64
voix_exprimes_9,34813,99.93,str
voix_inscrits_9,34813,99.93,str
sieges_au_cc_8,34786,99.86,float64
libelle_abrege_de_liste_8,34784,99.85,str
libelle_de_liste_8,34784,99.85,str
nuance_liste_8,34784,99.85,str
numero_de_panneau_8,34784,99.85,float64
sieges_au_cm_8,34784,99.85,float64
voix_8,34784,99.85,float64
voix_exprimes_8,34784,99.85,str
voix_inscrits_8,34784,99.85,str
sieges_au_cc_7,34730,99.7,float64
libelle_abrege_de_liste_7,34726,99.68,str
libelle_de_liste_7,34726,99.68,str
nuance_liste_7,34726,99.68,str
numero_de_panneau_7,34726,99.68,float64
sieges_au_cm_7,34726,99.68,float64
voix_7,34726,99.68,float64
voix_exprimes_7,34726,99.68,str
voix_inscrits_7,34726,99.68,str
sieges_au_cc_6,34650,99.47,float64
nuance_liste_6,34641,99.44,str
libelle_abrege_de_liste_6,34640,99.44,str
libelle_de_liste_6,34640,99.44,str
numero_de_panneau_6,34640,99.44,float64
sieges_au_cm_6,34640,99.44,float64
voix_6,34640,99.44,float64
voix_exprimes_6,34640,99.44,str
voix_inscrits_6,34640,99.44,str
sieges_au_cc_5,34469,98.95,float64
nuance_liste_5,34460,98.92,str
numero_de_panneau_5,34450,98.89,float64
libelle_abrege_de_liste_5,34448,98.89,str
libelle_de_liste_5,34448,98.89,str
sieges_au_cm_5,34448,98.89,float64
voix_5,34448,98.89,float64
