code_commune,nom_commune,2014,2020,variation_absolue,variation_relative_pct
56067,GRAND-CHAMP,73.19,36.09,-37.099999999999994,-50.69
56023,BRECH,70.54,33.45,-37.09,-52.58
68329,STOSSWIHR,71.81,34.72,-37.09,-51.65
29268,SAINT-THONAN,82.77,45.68,-37.089999999999996,-44.81
26038,BEAUMONT-MONTEUX,81.6,44.51,-37.089999999999996,-45.45
30011,LES ANGLES,64.48,27.41,-37.07000000000001,-57.49
57323,HETTANGE-GRANDE,59.87,22.8,-37.06999999999999,-61.92
56117,LOCMINÉ,70.63,33.56,-37.06999999999999,-52.48
60333,LACHAPELLE-AUX-POTS,74.4,37.34,-37.06,-49.81
85020,BENET,76.25,39.22,-37.03,-48.56
53127,LASSAY-LES-CHÂTEAUX,74.84,37.81,-37.03,-49.48
25370,MATHAY,71.25,34.23,-37.02,-51.96
89382,SEIGNELAY,67.19,30.17,-37.019999999999996,-55.1
38034,BEAUREPAIRE,62.0,24.98,-37.019999999999996,-59.71
44061,FROSSAY,67.35,30.35,-36.99999999999999,-54.94
28098,CHERISY,73.86,36.87,-36.99,-50.08
60501,LE PLESSIS-BRION,74.91,37.92,-36.989999999999995,-49.38
47280,SAINT-SYLVESTRE-SUR-LOT,73.75,36.77,-36.98,-50.14
21540,SAINT-APOLLINAIRE,66.33,29.36,-36.97,-55.74
59155,COUDEKERQUE-BRANCHE,71.82,34.85,-36.96999999999999,-51.48
85204,SAINT-CHRISTOPHE-DU-LIGNERON,71.96,35.0,-36.959999999999994,-51.36
37264,VALLÈRES,78.31,41.36,-36.95,-47.18
85297,TRIAIZE,82.86,45.91,-36.95,-44.59
70310,LURE,62.09,25.14,-36.95,-59.51
05151,SAINT-MARTIN-DE-QUEYRIÈRES,73.16,36.21,-36.949999999999996,-50.51
57372,KUNTZIG,76.97,40.02,-36.949999999999996,-48.01
55553,VIGNOT,73.31,36.37,-36.940000000000005,-50.39
42177,POUILLY-SOUS-CHARLIEU,66.06,29.13,-36.93000000000001,-55.9
42259,SAINT-MARTIN-LA-PLAINE,67.21,30.28,-36.92999999999999,-54.95
45006,ARDON,75.78,38.88,-36.9,-48.69
77400,SAINT-AUGUSTIN,66.69,29.8,-36.89,-55.32
68231,NEUF-BRISACH,68.28,31.39,-36.89,-54.03
33085,CAMBLANES-ET-MEYNAC,74.18,37.3,-36.88000000000001,-49.72
49018,BAUGÉ-EN-ANJOU,69.56,32.68,-36.88,-53.02
56115,LOCMARIA-GRAND-CHAMP,75.27,38.39,-36.879999999999995,-49.0
01213,LEYMENT,68.67,31.8,-36.870000000000005,-53.69
31523,SALIES-DU-SALAT,73.1,36.23,-36.87,-50.44
88048,BELLEFONTAINE,77.7,40.85,-36.85,-47.43
44214,VAY,74.32,37.47,-36.849999999999994,-49.58
13029,CORNILLON-CONFOUX,83.25,46.41,-36.84,-44.25
51308,JONCHERY-SUR-VESLE,65.99,29.15,-36.839999999999996,-55.83
22020,BROONS,79.03,42.2,-36.83,-46.6
17155,ETAULES,71.24,34.41,-36.83,-51.7
45245,OUZOUER-SUR-TRÉZÉE,76.15,39.33,-36.82000000000001,-48.35
33454,SAINT-MORILLON,76.88,40.06,-36.81999999999999,-47.89
82002,ALBIAS,71.54,34.73,-36.81000000000001,-51.45
16236,MOUTHIERS-SUR-BOËME,66.5,29.69,-36.81,-55.35
26197,MONTÉLIER,69.99,33.18,-36.809999999999995,-52.59
34140,LIGNAN-SUR-ORB,71.29,34.51,-36.78000000000001,-51.59
76039,LES AUTHIEUX-SUR-LE-PORT-SAINT-OUEN,75.38,38.6,-36.779999999999994,-48.79
41276,VILLEBAROU,70.05,33.3,-36.75,-52.46
70408,PESMES,80.1,43.36,-36.739999999999995,-45.87
07340,VEYRAS,71.27,34.56,-36.709999999999994,-51.51
45145,FERRIÈRES,65.12,28.44,-36.68000000000001,-56.33
87081,JOURGNAC,87.16,50.48,-36.68,-42.08
69032,BULLY,68.83,32.16,-36.67,-53.28
71506,SAVIGNY-EN-REVERMONT,76.93,40.27,-36.660000000000004,-47.65
76453,MORGNY-LA-POMMERAYE,75.55,38.89,-36.66,-48.52
31589,VILLENOUVELLE,83.28,46.65,-36.63,-43.98
44054,ERBRAY,72.69,36.06,-36.629999999999995,-50.39
29226,POULLAN-SUR-MER,69.93,33.31,-36.620000000000005,-52.37
62201,CAMIERS,76.15,39.53,-36.620000000000005,-48.09
57571,RÉMERING-LÈS-PUTTELANGE,61.92,25.31,-36.61,-59.12
67137,FEGERSHEIM,60.38,23.77,-36.61,-60.63
32410,SAMATAN,82.01,45.41,-36.60000000000001,-44.63
42044,LE CHAMBON-FEUGEROLLES,57.83,21.24,-36.59,-63.27
59120,CAËSTRE,72.44,35.85,-36.589999999999996,-50.51
50087,BRIX,64.57,28.01,-36.55999999999999,-56.62
76631,SAINT-PAËR,74.4,37.85,-36.550000000000004,-49.13
60104,BRETEUIL,67.65,31.14,-36.510000000000005,-53.97
84078,MONDRAGON,71.1,34.59,-36.50999999999999,-51.35
42318,USSON-EN-FOREZ,82.79,46.29,-36.50000000000001,-44.09
44179,SAINT-MARS-DU-DÉSERT,66.37,29.89,-36.480000000000004,-54.96
38530,VAULX-MILIEU,67.12,30.64,-36.480000000000004,-54.35
88251,JEANMÉNIL,78.02,41.54,-36.48,-46.76
95199,DOMONT,59.51,23.04,-36.47,-61.28
59346,LEZENNES,67.79,31.33,-36.46000000000001,-53.78
67087,DAUENDORF,76.48,40.02,-36.46,-47.67
10140,ERVY-LE-CHÂTEL,78.96,42.5,-36.459999999999994,-46.18
17086,CHANIERS,71.0,34.55,-36.45,-51.34
44202,TEILLÉ,71.28,34.83,-36.45,-51.14
25212,ECOLE-VALENTIN,66.91,30.46,-36.449999999999996,-54.48
35002,AMANLIS,75.08,38.65,-36.43,-48.52
91666,VILLEJUST,70.72,34.3,-36.42,-51.5
60666,VER-SUR-LAUNETTE,66.34,29.95,-36.39,-54.85
33415,SAINT-GERVAIS,72.73,36.36,-36.370000000000005,-50.01
68144,HOMBOURG,76.14,39.77,-36.37,-47.77
72253,ROÉZÉ-SUR-SARTHE,69.32,32.95,-36.36999999999999,-52.47
30211,REDESSAN,69.58,33.22,-36.36,-52.26
76100,BLAINVILLE-CREVON,74.58,38.22,-36.36,-48.75
21200,COUCHEY,72.21,35.85,-36.35999999999999,-50.35
53175,PARNÉ-SUR-ROC,79.7,43.35,-36.35,-45.61
74205,ONNION,70.48,34.14,-36.34,-51.56
34130,LAURENS,80.39,44.05,-36.34,-45.2
69246,THEIZÉ,71.97,35.63,-36.339999999999996,-50.49
35133,IFFENDIC,71.05,34.71,-36.339999999999996,-51.15
52045,BETTANCOURT-LA-FERRÉE,67.23,30.9,-36.330000000000005,-54.04
63415,SAUXILLANGES,76.92,40.59,-36.33,-47.23
58152,MAGNY-COURS,76.68,40.36,-36.32000000000001,-47.37
07325,UCEL,72.52,36.21,-36.309999999999995,-50.07
46191,MERCUÈS,81.54,45.24,-36.300000000000004,-44.52
14228,DOUVRES-LA-DÉLIVRANDE,63.05,26.76,-36.28999999999999,-57.56
31184,FLOURENS,77.4,41.12,-36.28000000000001,-46.87
45089,CHÉCY,65.01,28.74,-36.27000000000001,-55.79
81037,BRASSAC,86.32,50.05,-36.269999999999996,-42.02
76018,VAL-DE-SAÂNE,81.85,45.58,-36.269999999999996,-44.31
87075,ISLE,65.55,29.28,-36.269999999999996,-55.33
28110,LE COUDRAY,63.12,26.87,-36.25,-57.43
95476,OSNY,55.94,19.69,-36.25,-64.8
14325,HERMANVILLE-SUR-MER,67.1,30.87,-36.22999999999999,-53.99
68204,METZERAL,75.46,39.24,-36.21999999999999,-48.0
43141,MONTFAUCON-EN-VELAY,80.41,44.2,-36.209999999999994,-45.03
40133,LABENNE,68.07,31.87,-36.19999999999999,-53.18
24396,SAINT-CYPRIEN,79.98,43.79,-36.190000000000005,-45.25
42224,SAINT-GENEST-MALIFAUX,75.24,39.05,-36.19,-48.1
91634,VAUGRIGNEUSE,71.59,35.44,-36.150000000000006,-50.5
39056,BLETTERANS,74.95,38.8,-36.150000000000006,-48.23
56176,PLUNERET,64.68,28.53,-36.150000000000006,-55.89
91105,BREUILLET,64.54,28.39,-36.150000000000006,-56.01
05166,SERRES,78.06,41.91,-36.150000000000006,-46.31
49110,CORZÉ,70.72,34.57,-36.15,-51.12
71417,SAINT-GENGOUX-LE-NATIONAL,74.94,38.79,-36.15,-48.24
95409,MOISSELLES,72.05,35.91,-36.14,-50.16
87107,NIEUL,73.11,36.99,-36.12,-49.41
14623,SAINT-MARTIN-DE-FONTENAY,67.19,31.09,-36.099999999999994,-53.73
38155,ENTRE-DEUX-GUIERS,66.48,30.4,-36.080000000000005,-54.27
29043,DAOULAS,70.69,34.63,-36.059999999999995,-51.01
07152,MAUVES,76.03,39.98,-36.050000000000004,-47.42
82110,MIRABEL,84.05,48.0,-36.05,-42.89
53054,CHANGÉ,66.66,30.61,-36.05,-54.08
55186,FAINS-VÉEL,71.35,35.31,-36.03999999999999,-50.51
28332,SAINTE-GEMME-MORONVAL,71.9,35.87,-36.03000000000001,-50.11
59089,BOLLEZEELE,79.94,43.91,-36.03,-45.07
86177,NEUVILLE-DE-POITOU,67.23,31.22,-36.010000000000005,-53.56
01301,POLLIAT,73.05,37.04,-36.01,-49.3
35076,CHAVAGNE,67.72,31.72,-36.0,-53.16
25258,FRANOIS,66.38,30.38,-36.0,-54.23
22183,PLÉMET,82.42,46.45,-35.97,-43.64
29179,PLOUDANIEL,71.61,35.66,-35.95,-50.2
63099,CHÂTEAUGAY,67.18,31.24,-35.94000000000001,-53.5
38009,ANJOU,67.6,31.66,-35.94,-53.17
62038,ARDRES,75.14,39.2,-35.94,-47.83
37002,AMBILLOU,75.25,39.31,-35.94,-47.76
11188,LA PALME,78.82,42.9,-35.919999999999995,-45.57
44051,DERVAL,67.28,31.37,-35.91,-53.37
08191,GIVONNE,68.86,32.95,-35.91,-52.15
86214,SAINT-BENOÎT,62.66,26.76,-35.89999999999999,-57.29
62906,ZUTKERQUE,80.85,44.96,-35.88999999999999,-44.39
67339,BETSCHDORF,63.91,28.03,-35.879999999999995,-56.14
42242,SAINT-JOSEPH,66.0,30.13,-35.870000000000005,-54.35
35278,SAINT-GRÉGOIRE,66.1,30.23,-35.86999999999999,-54.27
60355,LAVERSINES,81.16,45.32,-35.839999999999996,-44.16
79355,VOUILLÉ,69.25,33.42,-35.83,-51.74
24370,SAINT-ANTOINE-DE-BREUILH,74.25,38.43,-35.82,-48.24
74067,CHAVANOD,67.58,31.76,-35.81999999999999,-53.0
49241,LE PLESSIS-GRAMMOIRE,69.64,33.84,-35.8,-51.41
68154,ILLZACH,51.99,16.19,-35.8,-68.86
61061,BRETONCELLES,75.63,39.83,-35.8,-47.34
44187,SAINT-PÈRE-EN-RETZ,67.3,31.51,-35.78999999999999,-53.18
35294,SAINTE-MARIE,69.1,33.31,-35.78999999999999,-51.79
86016,AVANTON,74.98,39.21,-35.77,-47.71
47054,CASTELMORON-SUR-LOT,77.19,41.44,-35.75,-46.31
60154,CINQUEUX,71.77,36.02,-35.74999999999999,-49.81
35219,PIPRIAC,73.34,37.6,-35.74,-48.73
