colonne,nb_manquants,pct_manquants,dtype
unnamed_51,296290,97.73,str
liste,293322,96.75,str
sieges_cc,293322,96.75,float64
sieges_secteur,293322,96.75,float64
sieges_elu,293308,96.75,str
abs_ins,293259,96.73,str
abstentions,293259,96.73,float64
blancs_et_nuls,293259,96.73,float64
blnuls_ins,293259,96.73,str
blnuls_vot,293259,96.73,str
code_de_la_commune,293259,96.73,str
code_du_departement,293259,96.73,str
code_nuance,293259,96.73,str
date_de_l_export,293259,96.73,str
exp_ins,293259,96.73,str
exp_vot,293259,96.73,str
exprimes,293259,96.73,float64
inscrits,293259,96.73,float64
libelle_de_la_commune,293259,96.73,str
libelle_du_departement,293259,96.73,str
nom,293259,96.73,str
prenom,293259,96.73,str
sexe,293259,96.73,str
type_de_scrutin,293259,96.73,str
voix,293259,96.73,float64
voix_exp,293259,96.73,str
voix_ins,293259,96.73,str
vot_ins,293259,96.73,str
votants,293259,96.73,float64
coddpt,9906,3.27,str
codsubcom,9906,3.27,str
elu,9906,3.27,str
libdpt,9906,3.27,str
libsubcom,9906,3.27,str
nbrabs,9906,3.27,float64
nbrblanul,9906,3.27,float64
nbrexp,9906,3.27,float64
nbrins,9906,3.27,float64
nbrvoix,9906,3.27,float64
nbrvot,9906,3.27,float64
nompsnext,9906,3.27,str
pctabsins,9906,3.27,str
pctblnulins,9906,3.27,str
pctblnulvot,9906,3.27,str
pctexpins,9906,3.27,str
pctexpvot,9906,3.27,str
pctvoixexp,9906,3.27,str
pctvoixins,9906,3.27,str
pctvotins,9906,3.27,str
popsubcom,9906,3.27,float64
prepsn,9906,3.27,str
sexpsn,9906,3.27,str
