code_commune;annee_source;nombre_faits;taux_criminalite;nb_indicateurs
70480;2025;0.0;0.0;10
70481;2025;0.0;0.0;7
70482;2025;18.0;2.9508;4
70483;2025;0.0;0.0;11
70484;2025;0.0;0.0;12
70485;2025;0.0;0.0;7
70486;2025;0.0;0.0;9
70487;2025;0.0;0.0;7
70488;2025;0.0;0.0;5
70489;2025;0.0;0.0;3
70490;2025;0.0;0.0;10
70491;2025;0.0;0.0;6
70492;2025;0.0;0.0;6
70493;2025;0.0;0.0;9
70494;2025;0.0;0.0;10
70496;2025;0.0;0.0;11
70498;2025;0.0;0.0;7
70499;2025;0.0;0.0;9
70500;2025;0.0;0.0;10
70501;2025;0.0;0.0;14
70502;2025;0.0;0.0;14
70503;2025;0.0;0.0;9
70504;2025;0.0;0.0;6
70505;2025;0.0;0.0;8
70506;2025;0.0;0.0;9
70507;2025;0.0;0.0;8
70509;2025;0.0;0.0;6
70510;2025;0.0;0.0;7
70511;2025;0.0;0.0;7
70512;2025;0.0;0.0;11
70513;2025;37.0;3.0553;5
70514;2025;0.0;0.0;5
70515;2025;0.0;0.0;11
70516;2025;0.0;0.0;8
70517;2025;0.0;0.0;8
70518;2025;0.0;0.0;12
70519;2025;0.0;0.0;11
70520;2025;0.0;0.0;11
70521;2025;0.0;0.0;8
70522;2025;0.0;0.0;10
70523;2025;0.0;0.0;8
70524;2025;0.0;0.0;12
70525;2025;0.0;0.0;9
70526;2025;0.0;0.0;3
70527;2025;0.0;0.0;9
70528;2025;0.0;0.0;7
70529;2025;0.0;0.0;4
70531;2025;0.0;0.0;9
70532;2025;0.0;0.0;7
70533;2025;0.0;0.0;10
70534;2025;0.0;0.0;12
70535;2025;0.0;0.0;12
70536;2025;0.0;0.0;11
70537;2025;0.0;0.0;9
70538;2025;0.0;0.0;10
70539;2025;0.0;0.0;4
70540;2025;0.0;0.0;15
70541;2025;0.0;0.0;11
70542;2025;0.0;0.0;7
70544;2025;0.0;0.0;11
70545;2025;0.0;0.0;11
70546;2025;0.0;0.0;7
70547;2025;0.0;0.0;11
70548;2025;0.0;0.0;10
70549;2025;0.0;0.0;12
70550;2025;1330.0;6.3782;14
70552;2025;0.0;0.0;10
70553;2025;0.0;0.0;14
70554;2025;0.0;0.0;9
70555;2025;0.0;0.0;9
70558;2025;0.0;0.0;12
70559;2025;0.0;0.0;8
70560;2025;0.0;0.0;8
70561;2025;42.0;4.1929;7
70562;2025;0.0;0.0;10
70563;2025;0.0;0.0;7
70564;2025;0.0;0.0;7
70565;2025;0.0;0.0;15
70566;2025;0.0;0.0;8
70567;2025;0.0;0.0;10
70568;2025;0.0;0.0;15
70569;2025;0.0;0.0;13
70571;2025;0.0;0.0;11
70572;2025;0.0;0.0;5
70573;2025;0.0;0.0;10
70574;2025;0.0;0.0;13
70575;2025;0.0;0.0;3
70576;2025;0.0;0.0;9
70577;2025;0.0;0.0;4
70578;2025;0.0;0.0;12
70579;2025;0.0;0.0;10
70580;2025;0.0;0.0;7
70581;2025;0.0;0.0;7
70582;2025;0.0;0.0;11
70583;2025;0.0;0.0;12
71001;2025;0.0;0.0;4
71002;2025;0.0;0.0;4
71003;2025;0.0;0.0;6
71004;2025;0.0;0.0;6
71005;2025;0.0;0.0;11
71006;2025;0.0;0.0;12
71007;2025;0.0;0.0;8
71008;2025;0.0;0.0;10
71009;2025;0.0;0.0;4
71010;2025;0.0;0.0;4
71011;2025;0.0;0.0;7
71012;2025;0.0;0.0;8
71013;2025;0.0;0.0;8
71014;2025;559.0;3.9074;11
71015;2025;0.0;0.0;7
71016;2025;5.0;0.7555;6
71017;2025;0.0;0.0;14
71018;2025;0.0;0.0;8
71019;2025;0.0;0.0;11
71020;2025;0.0;0.0;11
71021;2025;0.0;0.0;11
71022;2025;0.0;0.0;4
71023;2025;0.0;0.0;3
71024;2025;0.0;0.0;5
71025;2025;0.0;0.0;7
71026;2025;0.0;0.0;6
71027;2025;0.0;0.0;2
71028;2025;0.0;0.0;9
71029;2025;0.0;0.0;6
71030;2025;0.0;0.0;7
71031;2025;0.0;0.0;9
71032;2025;0.0;0.0;8
71033;2025;0.0;0.0;3
71034;2025;0.0;0.0;10
71035;2025;0.0;0.0;10
71036;2025;0.0;0.0;10
71037;2025;0.0;0.0;12
71038;2025;0.0;0.0;9
71039;2025;0.0;0.0;11
71040;2025;168.0;5.0079;7
71041;2025;0.0;0.0;10
71042;2025;0.0;0.0;4
71043;2025;0.0;0.0;10
71044;2025;0.0;0.0;8
71045;2025;0.0;0.0;9
71046;2025;0.0;0.0;13
71047;2025;130.0;3.2574;9
71048;2025;0.0;0.0;10
71050;2025;0.0;0.0;10
71051;2025;0.0;0.0;11
71052;2025;5.0;2.2989;3
71054;2025;0.0;0.0;10
71056;2025;40.0;3.405;6
71057;2025;0.0;0.0;12
71058;2025;0.0;0.0;9
71059;2025;49.0;6.9709;3
71060;2025;0.0;0.0;12
71061;2025;0.0;0.0;4
71062;2025;0.0;0.0;12
71063;2025;0.0;0.0;7
71064;2025;0.0;0.0;4
71065;2025;0.0;0.0;8
71066;2025;0.0;0.0;11
71067;2025;0.0;0.0;14
71068;2025;0.0;0.0;13
71069;2025;0.0;0.0;7
71070;2025;31.0;2.4031;6
71071;2025;0.0;0.0;10
71072;2025;0.0;0.0;11
71073;2025;253.0;4.5273;11
71074;2025;0.0;0.0;3
71075;2025;0.0;0.0;6
71076;2025;3390.0;5.4771;14
71077;2025;0.0;0.0;5
71078;2025;0.0;0.0;11
71079;2025;0.0;0.0;7
71080;2025;0.0;0.0;11
71081;2025;59.0;3.729;6
71082;2025;0.0;0.0;9
71084;2025;0.0;0.0;7
71085;2025;0.0;0.0;8
71086;2025;0.0;0.0;8
71087;2025;0.0;0.0;10
71088;2025;0.0;0.0;9
71089;2025;0.0;0.0;9
71090;2025;86.0;3.7129;7
71091;2025;0.0;0.0;7
71092;2025;0.0;0.0;5
71093;2025;0.0;0.0;3
71094;2025;0.0;0.0;9
71095;2025;0.0;0.0;8
71096;2025;0.0;0.0;10
71097;2025;0.0;0.0;4
71098;2025;0.0;0.0;8
71099;2025;0.0;0.0;9
71100;2025;0.0;0.0;8
71101;2025;0.0;0.0;5
71102;2025;0.0;0.0;9
71103;2025;0.0;0.0;7
71104;2025;0.0;0.0;7
71105;2025;219.0;2.5661;12
71106;2025;84.0;4.329;7
71107;2025;0.0;0.0;9
71108;2025;0.0;0.0;8
71109;2025;0.0;0.0;9
71110;2025;0.0;0.0;7
71111;2025;0.0;0.0;10
71112;2025;0.0;0.0;13
71113;2025;0.0;0.0;12
71115;2025;0.0;0.0;13
71116;2025;0.0;0.0;13
71117;2025;0.0;0.0;4
71118;2025;181.0;3.9526;9
71119;2025;0.0;0.0;5
71120;2025;166.0;4.6961;10
71121;2025;0.0;0.0;7
71122;2025;0.0;0.0;4
71123;2025;0.0;0.0;6
71124;2025;0.0;0.0;7
71125;2025;0.0;0.0;14
71126;2025;0.0;0.0;6
71127;2025;0.0;0.0;13
71128;2025;0.0;0.0;10
71129;2025;0.0;0.0;6
71130;2025;0.0;0.0;11
71132;2025;24.0;3.5644;4
71133;2025;24.0;3.071;5
71134;2025;0.0;0.0;7
71135;2025;0.0;0.0;4
71136;2025;0.0;0.0;7
71137;2025;230.0;4.8866;10
71139;2025;0.0;0.0;11
71140;2025;0.0;0.0;13
71141;2025;0.0;0.0;10
71142;2025;0.0;0.0;7
71143;2025;0.0;0.0;6
71144;2025;0.0;0.0;10
71145;2025;0.0;0.0;5
71146;2025;0.0;0.0;10
71147;2025;0.0;0.0;8
71148;2025;0.0;0.0;8
71149;2025;6.0;1.2366;4
71150;2025;159.0;6.9405;8
71151;2025;0.0;0.0;11
71152;2025;0.0;0.0;11
71153;2025;849.0;3.0669;14
71154;2025;31.0;2.495;5
71155;2025;0.0;0.0;6
71156;2025;0.0;0.0;6
71157;2025;10.0;1.7835;3
71158;2025;62.0;6.081;8
71159;2025;0.0;0.0;9
71160;2025;0.0;0.0;10
71161;2025;0.0;0.0;8
71162;2025;8.0;1.4625;5
71163;2025;0.0;0.0;12
71164;2025;0.0;0.0;14
71165;2025;0.0;0.0;6
71166;2025;0.0;0.0;11
71167;2025;0.0;0.0;2
71168;2025;0.0;0.0;10
71169;2025;0.0;0.0;5
71170;2025;7.0;0.7973;5
71171;2025;0.0;0.0;7
71172;2025;0.0;0.0;13
71173;2025;0.0;0.0;5
71174;2025;0.0;0.0;12
71175;2025;0.0;0.0;8
71176;2025;382.0;5.3736;10
71177;2025;52.0;10.8198;6
71178;2025;0.0;0.0;6
71179;2025;0.0;0.0;10
71181;2025;0.0;0.0;10
71182;2025;30.0;10.0475;4
71183;2025;0.0;0.0;7
71184;2025;0.0;0.0;7
71185;2025;0.0;0.0;6
71186;2025;0.0;0.0;7
71187;2025;18.0;2.724;4
71188;2025;0.0;0.0;14
71189;2025;10.0;1.4997;4
71190;2025;41.0;3.1519;6
71191;2025;0.0;0.0;6
71192;2025;21.0;3.0;4
71193;2025;0.0;0.0;8
71194;2025;0.0;0.0;6
71195;2025;24.0;13.4529;8
71196;2025;0.0;0.0;5
71198;2025;0.0;0.0;7
71199;2025;0.0;0.0;13
71200;2025;0.0;0.0;8
71201;2025;0.0;0.0;11
71202;2025;44.0;5.975;4
71203;2025;0.0;0.0;13
71204;2025;7.0;2.4805;2
71205;2025;0.0;0.0;7
71206;2025;0.0;0.0;10
71207;2025;0.0;0.0;9
71208;2025;0.0;0.0;7
71209;2025;0.0;0.0;6
71210;2025;0.0;0.0;7
71212;2025;7.0;1.6738;3
71213;2025;0.0;0.0;6
71214;2025;0.0;0.0;4
71215;2025;15.0;1.9486;3
71216;2025;0.0;0.0;9
71217;2025;0.0;0.0;10
71218;2025;0.0;0.0;7
71219;2025;0.0;0.0;6
71220;2025;0.0;0.0;4
71221;2025;66.0;5.2545;5
71222;2025;0.0;0.0;5
71223;2025;0.0;0.0;9
71224;2025;0.0;0.0;13
71225;2025;0.0;0.0;8
71226;2025;0.0;0.0;13
71227;2025;0.0;0.0;8
71228;2025;0.0;0.0;12
