code_commune;revenu_median;taux_pauvrete;nb_menages;nb_personnes
14258;19490;19;3678;7492
14260;24430;;107;239
14261;22390;;130;354
14266;24290;;539;1423
14269;25470;;93;239
14270;23200;;161;381
14271;20810;14;2182;4584
14272;19450;;43;110
14273;20300;;60;129
14274;26780;;1028;2688
14275;23470;;185;469
14276;21540;;131;358
14277;22480;;719;1851
14278;23660;;446;1167
14280;20030;;95;252
14281;21610;;278;675
14282;20390;;83;218
14283;20430;;81;219
14284;22930;;57;147
14286;23740;;193;500
14287;22770;;727;1872
14288;26810;;356;981
14289;20760;;211;577
14290;24380;;282;747
14291;21270;;111;290
14293;23580;;110;276
14297;24430;;182;539
14298;23650;;60;131
14299;23410;;305;735
14301;20770;11;2036;4830
14302;24690;;65;147
14303;22060;;376;930
14304;26270;;327;806
14305;28270;;298;654
14306;26130;;169;396
14308;22290;;105;279
14309;21220;;329;781
14310;21150;;286;731
14311;23410;;368;973
14312;21090;;811;1444
14316;26780;;108;262
14318;24170;;270;649
14319;22990;;355;944
14320;23570;;126;301
14322;24330;;102;259
14325;24880;;1393;3260
14326;23370;;325;814
14327;18250;25;9498;19549
14328;23290;;557;1351
14329;25210;;43;108
14332;21940;;245;631
14333;19470;18;3609;7238
14334;19350;;116;272
14335;24340;;126;277
14336;22170;;191;479
14337;21670;;121;336
14338;23810;10;1119;2046
14341;21370;14;4567;10542
14342;19620;18;1671;3460
14344;26250;;158;372
14345;20040;;128;290
14346;23240;;251;642
14347;19950;;402;1018
14349;23630;;742;2031
14352;19540;;375;816
14353;22000;;149;427
14354;24090;;960;2076
14355;23260;;466;1202
14357;19480;;374;930
14360;20710;;75;196
14362;22080;;68;150
14364;24070;;184;470
14365;24500;;1207;2584
14366;18480;22;9743;18057
14367;18040;;204;448
14368;20480;;120;270
14369;21010;;117;265
14370;20220;12;1300;2880
14371;19600;17;2581;5791
14374;18490;;56;146
14375;20810;;63;160
14377;22000;;248;596
14378;21600;;108;251
14379;22010;;141;349
14380;24150;;73;195
14383;24750;;1097;2548
14384;24600;8;1591;3297
14385;24310;;60;169
14389;23660;;99;266
14390;21760;;70;193
14391;24940;;159;394
14393;23210;;130;360
14394;21210;;164;461
14396;25600;;351;959
14397;21930;;127;328
14398;24380;;206;495
14399;25960;;130;301
14400;23600;;67;220
14401;23310;;61;141
14403;21840;;301;726
14404;23210;;44;113
14405;23420;;120;304
14406;24510;;412;1135
14407;31010;;934;2397
14408;22540;;785;1922
14409;23970;10;1144;2290
14410;21060;;446;1062
14411;23020;;113;309
14419;22570;;108;239
14421;23470;;221;543
14424;21080;;73;188
14425;22130;;65;165
14426;26670;;68;171
14427;19140;;133;293
14430;22710;;62;141
14431;19920;14;3848;9127
14435;23030;;66;173
14436;23820;;221;564
14437;20870;12;4654;9421
14438;23290;;202;588
14439;21020;;42;103
14449;24030;;161;406
14452;19830;;230;570
14453;21160;;135;346
14454;23950;;657;1747
14455;21190;;91;256
14456;21260;11;1189;3274
14457;18120;;47;125
14458;23910;;155;428
14460;20760;;610;1348
14461;23760;;189;542
14465;25170;;184;504
14466;24580;;142;376
14467;22170;;107;288
14468;21680;;139;350
14473;23330;;45;107
14474;20900;;78;189
14475;23580;;890;2311
14476;22520;;74;182
14478;18550;;901;1721
14480;20760;;215;477
14482;23070;;95;226
14483;21800;;72;183
14484;23460;;93;237
14486;21290;;227;567
14487;23090;;336;784
14488;22890;10;4814;9306
14491;24590;;78;211
14492;22890;;126;296
14494;22510;;52;123
14495;31890;;228;574
14497;22550;;123;332
14498;21490;;90;227
14499;25030;;216;551
14500;22630;;62;160
14501;20510;;105;237
14504;20740;;300;792
14506;19710;;102;250
14509;32550;;86;214
14514;20070;13;2250;4571
14515;20780;;990;1889
14516;19930;;891;1956
14519;24890;;44;120
14520;21880;;328;820
14522;22450;;153;370
14524;24340;;119;270
14527;20510;;202;470
14528;22460;;146;348
14529;22310;;99;267
14530;23970;;816;1983
14534;23760;;160;380
14535;24590;;221;550
14536;22580;9;1199;2476
14538;22650;;590;1615
14540;26840;;104;232
14541;21880;;42;102
14542;28800;;231;591
14543;25990;;963;2511
14546;22930;;76;218
14547;19570;;54;152
14552;23840;;209;513
14554;23340;;567;1571
14555;22950;;178;432
14556;22240;;668;1667
14557;23600;;522;995
14558;26290;;428;1114
14559;19820;;103;223
14562;24020;;1183;2440
14563;21020;;169;475
14565;23470;;116;249
14566;27470;;957;2497
14569;25900;;96;255
14570;20620;10;950;2354
14571;21470;;121;298
14572;20890;;328;753
14574;22550;;687;1604
14575;23520;;179;425
14576;20470;;195;474
14578;22990;;565;1299
14579;22120;;500;1313
14582;21550;;284;696
14586;22410;;68;153
14587;20460;17;966;2304
14588;21720;;124;344
14589;21010;;376;930
14590;20960;;53;140
14591;21830;;290;701
14592;24660;;489;1320
14593;24060;;267;698
14595;22900;;90;227
14598;23020;;108;284
14601;22830;;74;174
14602;19890;;114;261
14603;22650;;189;501
14605;24570;;139;298
14606;23500;;80;205
14607;22030;;58;134
14609;24910;;174;481
14610;24540;;771;2072
14614;19460;;323;743
14619;17940;;52;118
14620;23680;;174;415
14621;19760;;206;490
14622;23110;;56;125
14623;23050;;990;2541
14625;21700;;351;767
14626;21900;;386;978
14627;22790;;154;425
14630;23810;;274;759
14635;20540;;68;178
14637;23610;;80;198
14639;20740;;109;252
14640;24930;;90;226
14643;20890;;307;828
14644;22240;;263;646
14645;22410;;72;157
14646;21890;;176;448
14648;22670;;170;442
14649;21950;;175;442
14650;20470;;75;182
14651;24730;;94;251
14654;19650;15;3114;6700
14656;19850;;473;1033
14657;24110;;129;311
